epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,1274.38,0.55381,0.81684,0.62824,0.87698,0,0.6694,0.6607,0.68589,0.53836,0.64191,0.66941,0.67329,0.37658,0.6924,0.96185,0.98973,0.94028,0,0.0002773,0.0002773,0.0002773
75,1298.62,0.54655,0.81248,0.60572,0.86696,0,0.65572,0.68397,0.68941,0.5381,0.65233,0.67978,0.67968,0.37305,0.6944,0.92505,1.00066,0.94344,0,0.0002674,0.0002674,0.0002674
76,1320.33,0.56899,0.83242,0.62904,0.87258,0,0.61843,0.72745,0.69655,0.54436,0.60639,0.71862,0.67951,0.37316,0.6951,0.9503,0.98856,0.93538,0,0.0002575,0.0002575,0.0002575
77,1340.95,0.54944,0.81858,0.63727,0.87079,0,0.65032,0.65961,0.69608,0.54549,0.63993,0.65366,0.67899,0.37645,0.70675,0.92325,0.99227,0.93926,0,0.0002476,0.0002476,0.0002476
78,1361.37,0.55923,0.822,0.60722,0.86395,0,0.63902,0.68595,0.69198,0.544,0.62777,0.67428,0.67772,0.37799,0.70348,0.93113,1.00053,0.94682,0,0.0002377,0.0002377,0.0002377
79,1374.57,0.55503,0.83382,0.56586,0.85894,0,0.6574,0.67793,0.69855,0.54839,0.64842,0.67011,0.68567,0.37813,0.70656,0.95897,0.96756,0.94591,0,0.0002278,0.0002278,0.0002278
80,1391.73,0.57248,0.84158,0.5814,0.86628,0,0.66268,0.64762,0.68397,0.5313,0.64975,0.6373,0.67083,0.36625,0.69501,0.94671,1.01928,0.93931,0,0.0002179,0.0002179,0.0002179
81,1401.99,0.53476,0.79617,0.56328,0.86365,0,0.64524,0.67982,0.68463,0.53514,0.63542,0.67011,0.67382,0.36284,0.70347,0.94055,1.01084,0.94243,0,0.000208,0.000208,0.000208
82,1410.1,0.55653,0.83388,0.58611,0.87739,0,0.63376,0.65768,0.65168,0.51072,0.63421,0.64529,0.64176,0.34546,0.70766,0.93501,1.09945,0.94015,0,0.0001981,0.0001981,0.0001981
83,1428.19,0.5438,0.82749,0.55926,0.86175,0,0.58847,0.67706,0.63583,0.50266,0.63092,0.61939,0.62317,0.34655,0.69086,0.93269,1.14108,0.94073,0,0.0001882,0.0001882,0.0001882
84,1448.81,0.52355,0.79841,0.55604,0.85766,0,0.58188,0.66214,0.6181,0.48633,0.56961,0.65431,0.60076,0.32898,0.70031,0.93965,1.16221,0.94231,0,0.0001783,0.0001783,0.0001783
85,1470.34,0.54097,0.82386,0.56374,0.86475,0,0.62641,0.66765,0.65929,0.5234,0.56386,0.7074,0.63819,0.3516,0.68719,0.93328,1.05779,0.93833,0,0.0001684,0.0001684,0.0001684
